epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.887,0.99996,1.84474,1.02061,0.93697,0.87963,0.96977,0.7483,0.82359,2.26878,0.91788,0.000658824,0.000658824,0.000658824
2,647.962,0.94446,1.12104,0.99639,0.90236,0.9296,0.95361,0.63198,1.07437,1.44731,1.05489,0.00128175,0.00128175,0.00128175
3,963.392,0.94699,0.91671,0.99432,0.9818,0.95754,0.99267,0.71387,0.90601,0.82238,0.98053,0.00186067,0.00186067,0.00186067
4,1279.25,0.94664,0.80547,0.99521,0.99129,0.98225,0.9934,0.80105,0.75192,0.67956,0.91709,0.001802,0.001802,0.001802
5,1597.14,0.90847,0.71198,0.98761,0.96459,0.96711,0.99056,0.77924,0.8122,0.62343,0.92804,0.001736,0.001736,0.001736
6,1911.39,0.87486,0.6435,0.97374,0.95409,0.98375,0.9874,0.79992,0.70613,0.51785,0.90457,0.00167,0.00167,0.00167
7,2227.29,0.84551,0.59722,0.94891,0.98566,0.98817,0.99379,0.84186,0.63685,0.47249,0.88516,0.001604,0.001604,0.001604
8,2542.36,0.84951,0.58188,0.95303,0.98179,0.95858,0.9842,0.81891,0.72452,0.51539,0.88992,0.001538,0.001538,0.001538
9,2856.55,0.8221,0.56009,0.95027,0.98816,0.98752,0.99454,0.79495,0.74411,0.49012,0.90307,0.001472,0.001472,0.001472
10,3170.29,0.8022,0.53408,0.94381,0.99519,0.98225,0.99418,0.82126,0.68679,0.42155,0.8788,0.001406,0.001406,0.001406
11,3485.33,0.81965,0.52677,0.95143,0.99999,0.98225,0.98939,0.85077,0.61113,0.41115,0.8638,0.00134,0.00134,0.00134
12,3800.28,0.7797,0.51655,0.93631,0.99384,0.98225,0.99166,0.84625,0.61806,0.40375,0.85889,0.001274,0.001274,0.001274
13,4114.2,0.74071,0.48669,0.92021,0.99302,1,0.99441,0.8607,0.57707,0.34589,0.84557,0.001208,0.001208,0.001208
14,4429.71,0.74281,0.46629,0.91381,0.98827,0.99737,0.99488,0.8251,0.63422,0.39116,0.86401,0.001142,0.001142,0.001142
15,4745.01,0.74043,0.47397,0.92428,0.97663,0.98225,0.99405,0.86275,0.60022,0.39834,0.85622,0.001076,0.001076,0.001076
16,5061.76,0.71986,0.46053,0.91727,0.99308,0.98817,0.99455,0.85686,0.5729,0.35343,0.85048,0.00101,0.00101,0.00101
17,5376.48,0.72154,0.45923,0.9208,0.9957,1,0.995,0.85801,0.62374,0.36039,0.86411,0.000944,0.000944,0.000944
18,5692.62,0.71011,0.44499,0.91961,0.98889,0.98225,0.99488,0.86273,0.61338,0.35257,0.84913,0.000878,0.000878,0.000878
19,6010.42,0.7085,0.44393,0.90731,0.99879,0.99408,0.995,0.87718,0.58939,0.34169,0.85045,0.000812,0.000812,0.000812
20,6325.65,0.67754,0.41497,0.89808,1,0.98661,0.99482,0.8494,0.65991,0.36107,0.86583,0.000746,0.000746,0.000746
21,6638.04,0.64887,0.39172,0.88555,0.99961,0.99408,0.995,0.85993,0.59407,0.33537,0.85915,0.00068,0.00068,0.00068
22,6950.91,0.65021,0.3824,0.88615,0.99838,1,0.995,0.87436,0.57663,0.31265,0.85476,0.000614,0.000614,0.000614
23,7263.4,0.63073,0.36786,0.87517,0.99373,1,0.995,0.87062,0.57432,0.30901,0.84349,0.000548,0.000548,0.000548
24,7575.81,0.61577,0.36291,0.8647,1,0.99378,0.995,0.87423,0.58876,0.32887,0.84255,0.000482,0.000482,0.000482
25,7890.75,0.60425,0.35415,0.85722,0.99957,1,0.995,0.88505,0.54554,0.28796,0.83867,0.000416,0.000416,0.000416
26,8203.15,0.58625,0.33493,0.852,1,0.99959,0.995,0.89935,0.52247,0.28932,0.82812,0.00035,0.00035,0.00035
27,8516.71,0.58344,0.32998,0.85737,1,0.99967,0.995,0.88543,0.52594,0.27674,0.82828,0.000284,0.000284,0.000284
28,8830.59,0.56194,0.31762,0.85318,1,0.99995,0.995,0.89974,0.52044,0.27597,0.82486,0.000218,0.000218,0.000218
29,9146.15,0.56315,0.3098,0.84532,0.99973,1,0.995,0.89198,0.53625,0.27451,0.83096,0.000152,0.000152,0.000152
30,9463.62,0.55072,0.3011,0.84012,0.99985,1,0.995,0.90678,0.50754,0.25931,0.82549,8.6e-05,8.6e-05,8.6e-05
